speed,dist
62,2803
61,2803
57,2803
60,2803
58,2803
55,2803
57,2803
58,2804
57,2804
56,2804
58,2804
57,2804
58,2804
56,2804
59,2804
56,2804
54,2804
59,2804
58,2805
56,2805
58,2805
66,2805
57,2805
56,2805
68,2805
57,2805
60,2806
58,2806
55,2806
58,2807
57,2807
57,2807
57,2808
57,2808
59,2808
56,2808
56,2808
57,2808
59,2809
57,2809
54,2809
56,2809
56,2810
60,2810
55,2810
61,2810
57,2810
58,2811
54,2811
59,2811
56,2811
60,2812
58,2812
59,2812
58,2812
58,554
58,554
57,554
59,554
56,554
57,554
59,554
55,554
58,554
56,554
55,554
57,554
60,554
55,554
56,554
55,555
55,555
58,555
56,555
57,555
55,555
56,555
56,555
56,555
56,555
62,555
58,556
56,556
56,556
57,556
58,2812
61,2812
57,2812
61,2812
60,2812
57,2812
58,2813
55,2813
58,2813
59,2814
57,2814
59,2814
56,2815
62,2815
58,2815
56,2815
56,2815
55,2815
56,2815
56,2815
60,2815
59,2815
58,2815
63,2815
58,2815
56,2816
57,2816
55,2816
59,2816
56,2816
55,2816
56,2817
56,2817
57,2817
58,2817
56,2817
59,2817
59,2817
55,2817
58,2817
55,2817
64,2817
61,2818
60,2818
60,2818
60,2818
62,2818
57,2818
57,2818
57,2818
60,2818
57,2818
62,2818
58,2819
56,2819
63,2819
60,2819
58,2820
57,2821
59,2821
55,2821
58,2821
57,2821
61,2821
59,2821
55,2821
58,2821
60,2822
59,2822
60,2822
59,2822
60,2822
55,2822
57,2822
55,2822
60,2822
58,2822
60,2822
56,2822
61,2822
56,2822
59,2822
56,2822
58,2822
64,2822
57,2822
56,2822
62,2822
58,2822
54,2822
59,2823
57,2823
58,2823
54,2823
54,2823
56,2823
59,2824
57,2824
58,2824
54,2824
60,2824
59,2825
59,2825
57,2825
59,2825
61,2825
67,2825
60,2826
59,2826
59,2826
58,2826
56,2826
61,2826
56,2826
60,2826
55,2826
59,2827
54,2827
58,2827
57,2827
55,2827
57,2828
61,2828
58,2829
54,2829
56,2829
57,2829
57,2829
57,2829
59,2830
56,2830
56,2830
57,2830
57,2830
54.4,2830
62,2830
60,2831
57,2831
57,2831
58,2831
56,2831
58,2832
61,2832
57,2832
60,2832
57,2832
58,2832
63,2832
58,2833
59,2833
61,2833
57,2833
55,2833
57,2833
57,2833
56,2834
57,2834
58,2834
57,2834
55,2834
54,2834
59,2834
55,2834
56,2835
57,2835
54,2835
57,2835
57,2835
59,2835
56,2836
60,2836
59,2837
56,2837
53,2838
55,2838
58,2838
60,2838
58,2838
58,2838
55,2838
61,2838
59,2838
61,2838
58,2838
60,2838
57,2839
57,2839
54,2839
55,2839
61,2839
60,2839
58,2839
53,2839
54,2839
54,2839
57,2839
58,2839
58,2839
62,2839
59,2839
60,2840
56,2840
56,2840
56,2840
56,2840
59,2840
60,2840
59,2841
55,2841
57,2841
53,2841
56,2841
57,2841
56,2841
60,2841
56,2841
57,2841
59,2841
58,2841
54,2842
61,2842
62,2843
58,2843
58,2843
58,2843
58,2843
57,2843
59,2843
57,2843
57,2843
57,2843
61,2844
59,2844
57,2844
57,2844
57,2844
59,2845
60,2845
60,2845
61,2845
56,2846
59,2846
56,2846
59,2846
61,2846
59,2846
57,2846
61,2846
59,2846
60,2846
58,2846
57,2847
57,2847
59,2847
59,2848
55,2848
57,2848
54,2849
58,2849
60,2850
59,2850
56,2850
60,2850
57,2851
56,2851
63,2851
59,2851
57,2851
59,2852
57,2852
55,2852
55,2852
57,2852
58,2853
55,2853
57,2853
60,2853
58,2853
58,2853
57.1,2854
56,2854
61,2854
57,2854
62,2854
60,2854
58,2854
58,2854
59,2854
57,2854
57,2855
57,2855
57,2855
67,2855
63,2856
61,2856
55,2856
57,2856
56,2856
56,2856
62,2856
57,556
56,556
55,556
61,556
57,556
55,556
55,556
62,556
54,556
54,556
55,557
56,557
54,557
54,557
53,557
53,557
53.6,557
54.8,557
54.2,557
59,557
58,557
58,557
56,557
58,557
58,557
61,557
55,557
57,557
53,557
59,557
56,2856
59,2856
58,2856
63,2857
58,2857
57,2857
59,2857
58,2857
56,2858
57,2858
57,2858
60,2858
59,2858
60,2858
59,2858
58,2858
54,2858
56,2858
62,2858
62,2858
56,2858
65,2858
57,2859
56,2859
60,2859
56,2859
61,2859
70,2859
60,2859
61,2860
58,2860
54.9,2860
57,2860
57,2860
58,2861
56,2861
56,2861
58,2861
61,2861
59,2861
58,2861
55,2862
58,2862
59,2862
54,2862
60,2862
57,2862
63,2862
60,2862
59,2862
57,2862
57,2862
61,2862
58,2863
56,2863
58,2863
59,2863
61,2863
59,2863
56,2863
57,2863
58,2863
58,2863
62,2863
62,2863
62,2863
61,2863
57,2863
60,2863
55,2863
57,2864
58,2865
55,2865
56,2866
55,2866
55,2866
58,2866
58,2866
57,2867
57,2867
57,2867
53,2867
57,2867
56,2867
56,2867
53,2867
56,2867
57,2867
57,2867
61,2867
55,2868
57,2868
58,2868
56,2868
60,2869
55,2869
56,2869
57,2869
57,2869
60,2870
57,2870
58,2870
57,2870
56,2870
56,2870
57,2870
59,2870
61,2870
58,2871
57,2871
59,2871
55,2871
55,2871
56.7,2872
55,2872
56,2872
62,2872
56,2872
64,2872
54,2872
56,2872
60,2872
57,2872
58,2872
55,2872
58,2873
58,2873
56,2873
56,2873
62,2873
58,2873
58,2873
61,2873
61,2873
56,2873
61,2873
58,2874
59,2874
59,2874
62,2874
58,2874
55,2874
55,2874
56,2874
59,2874
60,2875
56,2875
55,2875
61,2875
55,2875
60,2876
53,2876
54,2877
56,2877
55,2877
56,2877
62,2877
59,2878
60,2878
58,2878
55,2878
56,2878
56,2879
62,2879
60,2879
58,2879
56,2879
55,2879
54,2879
69,2879
56,2879
61,2880
57,2880
55,2881
59,2881
59,2881
56,2882
56,2882
58,2882
65,2882
57,2882
56,2883
64,2883
61,2883
55,2884
57,2885
60,2885
55,2885
63,2885
57,2885
56,2886
55,2886
54,2887
59,2887
59,2888
58,2889
54,2889
58,2889
58,2889
56,2889
54,2889
54,2889
56,2889
56,2889
61,2889
54,2890
57,2890
60,2890
59,2890
56,2890
58,2891
56,2891
56,2891
56,2891
56,2891
61,2891
55,2892
59,2892
55,2893
56,2893
57,2893
57,2893
60,2893
55,2893
62,2893
55,2893
59,2893
57,2894
57,2894
56,2894
56,2895
59,2895
53,2895
58,2896
60,2896
63,2896
56,2896
56,2896
55,2896
56,2896
58,2896
57,2896
57,2896
57,2897
58,2897
52,2897
55,2897
61,2897
58,2897
59,2898
55,2898
57,2898
56,2898
57,2898
57,2898
57,2898
57,2898
57,2898
57,2898
61,2899
58,2900
58,2900
58,2901
56,2901
59,2901
57,2901
60,2902
55,2902
55,2902
59,2902
60,2902
60,2903
57,2903
55,2903
59,2903
59,2903
54,2904
57,2904
59,2904
56,2904
62,2905
59,2905
59,2905
58,2905
58,2905
54,2905
58,2905
57,2905
59,2905
57,2906
58,2906
61,2906
53.9,2907
53.6,2907
54.2,2907
57,2907
53,2907
56,2907
60,2907
56,2907
55,557
57,558
55,558
59,558
57,558
59,558
60,558
58,558
60,558
55,558
57,558
60,558
58,558
56,558
57,558
55,558
60,558
57,558
60,558
58,558
61,558
54,558
60,558
59,558
61,558
57,558
57,558
58,558
56,558
60,558
56,2908
55,2908
60,2909
57,2909
56,2909
56,2909
57,2909
57,2910
57,2911
57,2911
56,2911
61,2911
54,2912
63,2912
56,2912
60,2912
54,2912
56,2912
55,2912
60,2913
58,2913
59,2913
58,2913
56,2913
57,2913
59,2913
59,2913
59,2913
57,2913
55,2914
58,2914
55,2915
57,2915
55,2915
56,2915
57,2916
57,2917
60,2917
58,2917
56,2917
58,2918
53,2918
54,2918
55,2918
57,2918
57,2919
56,2919
56,2919
58,2919
55,2919
55,2919
57,2920
55,2920
59,2920
55,2920
60,2921
59,2921
60,2921
60,2921
56,2921
66,2921
58,2922
59,2922
57,2922
56,2922
56,2922
57,2923
58,2923
59,2923
58,2923
58,2923
57,2923
54,2923
56,2923
56,2923
60,2923
60,2923
56,2924
63,2925
58,2925
58,2925
56,2925
56,2925
58,2925
55,2926
56,2926
60,2926
57,2927
58,2927
60,2927
54,2928
59,2928
58,2929
57,2929
57,2929
57,2929
60,2930
58,2930
54,2930
57,2930
57,2930
57,2930
63,2930
58,2930
57,2930
57,2931
57,2931
59,2931
61,2932
57,2932
58,2932
57,2933
59,2933
58,2933
57,2933
56,2933
64,2934
54,2934
52,2935
62,2935
60,2935
60,2936
58,2936
59,2936
54,2936
56,2937
62,2937
57,2937
60,2937
57,2938
59,2938
57,2938
58,2939
57,2939
56,2939
60,2939
56,2939
58,2939
57,2939
55,2939
58,2939
56,2939
59,2939
57,2940
55,2940
59,2940
54,2940
67,2940
61,2940
57,2940
56,2940
59,2941
59,2941
58,2942
58,2942
59,2942
56,2942
59,2942
59,2942
56,2943
56,2943
58,2944
55,2944
57,2945
55,2945
58,2945
56,2945
59,2946
57,2946
56,2946
57,2946
56,2946
55,2946
56,2947
57,2947
57,2947
59,2947
57,2947
58,2947
56,2947
57,2947
57,2947
54,2947
56,2947
55,2948
56,2948
58,2948
60,2948
60,2948
56,2948
58,2948
56,2949
57,2949
57,2949
55,2949
67,2949
58,2950
57,2950
60,2950
55,2951
58,2951
58,2951
55,2951
56,2951
58,2952
59,2952
59,2952
60,2952
55,2952
55,2952
58,2952
57,2952
55,2952
53.9,2952
61,2952
59,2953
59,2953
59,2953
60,2954
55,2954
59,2954
59,2954
57,2954
58,2954
54,2954
62,2955
57,2956
56,2956
56,2956
57,2956
59,2956
57,2956
60,2956
58,2956
56,2956
56,2956
55,2958
57,2958
57.8,2958
66,2958
58,2959
58,2959
58,2959
55,2959
58,2959
56,2960
56,2960
57,2960
57,2960
56,2960
56,2960
58,2960
61,2960
55,2960
58,2961
57,2961
60,2961
56,2961
56,2961
56,2961
57,2961
57,2961
53,2961
61,2961
56,2961
56,2962
56,2962
56,2962
56,2962
53,2963
63,2963
57,2964
55,2964
59,2964
58,2964
57,2964
56,2964
59,2964
62,2964
60,2964
62,2964
54,2964
54,2964
58,2964
58,2964
56,2965
56,2965
57,2965
56,2965
55,2965
56,2965
59,2966
58,2966
56,2966
55,2966
57,2966
56,2967
56,2967
56,2967
56,2967
61,558
61,558
55,558
56,559
56,559
55,559
57,559
56,559
56,559
56,559
55,559
56,559
55,559
56,559
56,559
58,559
55,559
57,559
57,559
55,559
55,559
56,560
56,560
56,560
58,560
54,560
56,560
55,561
58,561
57,561
60,2968
60,2968
59,2968
61,2968
57,2968
57,2968
57,2969
58,2970
56,2970
58,2970
57,2970
56,2970
64,2970
57,2971
58,2972
57,2972
56,2972
60,2972
58,2972
59,2973
57,2973
56,2973
56,2973
60,2973
62,2973
57,2974
54,2974
60,2974
58,2974
57,2974
57,2975
58,2975
56,2975
54,2975
59,2975
54,2975
58,2975
57,2976
56,2976
54,2976
58,2977
57,2977
58,2977
55,2977
58,2978
54,2978
55,2978
56,2978
59,2979
56,2979
58,2980
57,2980
61,2980
61,2980
55,2981
59,2981
57,2981
63,2982
57,2982
59,2982
57,2982
63,2982
58,2982
54,2984
57,2984
62,2984
56,2985
57,2985
60,2985
58,2986
54.1,2986
57,2986
56,2986
59,2987
56,2987
58,2988
54,2988
58,2988
55,2988
54,2989
58,2990
54,2990
57,2990
65,2990
55,2991
60,2991
56,2992
55.1,2992
66,2992
60,2993
56,2993
56,2993
55,2993
55,2993
57,2993
59,2993
57,2993
56,2994
55,2994
58,2994
55,2994
58,2994
58,2994
56,2995
56,2995
51,2996
55,2996
56,2996
55,2997
56,2997
57,2998
56,2998
57,2998
56,2998
67,2998
59,2999
58.1,2999
60,2999
58,2999
56,2999
60,2999
58,2999
62,2999
61,2999
56,3000
61,3000
60,3001
58,3001
56,3001
58,3001
61,3001
60,3001
59,3001
56,3001
57,3002
58,3002
58,3002
60,3002
59,3002
58,3002
55,3002
59,3002
66,3002
56,3003
56,3003
58,3003
58,3004
55,3004
55,3004
54,3004
57,3004
56,3004
61,3004
59,3005
54,3005
57,3005
56,3005
57,3005
58,3006
59,3006
58,3006
60,3006
59,3006
57,3007
57,3007
53,3007
55,3007
55,3007
56,3007
57,3007
56,3007
57,3007
60,3007
58,3008
56,3008
57,3008
59,3008
58,3009
57,3009
58,3009
58,3009
57,3010
58,3010
59,3010
57,3011
55,3011
62,3011
59,3011
66,3011
55,3011
54,3011
55,3011
57,3011
55,3011
58,3011
55,3011
55,3011
56,3011
62,3011
60,3012
57,3012
56,3012
57,3012
55,3012
56,3013
58,3013
53,3013
57,3013
56,3013
57,3013
60,3013
55,3014
56,3014
59,3014
61,3014
62,3014
57,3015
63,3015
55,3015
56,3015
59,3016
58,3016
57,3016
62,3016
55,3016
60,3016
55,3016
60,3017
60,3017
60,3017
56,3017
64,3017
63,3017
58,3018
57,3018
59,3018
56,3018
57,3018
61,3018
56,3018
59,3018
56,3018
56,3019
57,3019
53,3020
56,3023
57,3023
55,3023
60,3024
55,3024
57,3024
59,3024
58,3024
61,3024
57,3024
59,3024
58,3024
60,3024
63,3024
58,3024
60,3025
55,3026
57,3026
56,3026
54,3027
55,3027
57,3027
58,3027
61,3027
60,3028
54,3030
55,3030
57,3031
58,3032
57,3032
55,3032
54,3032
57,3033
57,3033
57,3033
57,3033
59,3033
60,3033
58,3033
58,3033
57,3033
57,3034
59,3034
57,3034
57,3035
57,3035
59,3035
57,3035
57,3035
56,3036
56,3036
59,3036
58,3036
55,3036
57,3037
56,561
58,561
59,561
60,561
56,561
59,561
59,561
57,561
54,561
57,561
55,561
57,561
57,561
58,561
57,561
58,561
57,561
57,561
57,561
58,561
58,561
60,561
55,561
60,561
55,561
58,561
58,561
57,561
55,561
56,561
58,3037
57,3038
56,3038
56,3038
59,3039
59,3039
58,3040
59,3040
57,3041
57,3041
55,3041
56,3042
57,3042
58,3043
59,3043
56,3043
60,3044
57,3044
55,3045
57,3045
58,3045
56,3045
60,3045
57,3045
56,3045
62,3046
61,3046
58,3047
54,3047
62,3047
59,3047
57,3047
56.9,3048
57,3048
59,3048
56,3048
60,3048
56,3048
55,3048
57,3048
54,3048
55,3049
57,3049
53,3049
63,3050
56,3050
55,3050
55,3050
56,3050
57,3050
60,3051
59,3051
55,3052
57,3052
61,3052
56,3052
58,3053
59,3053
59,3053
56,3053
54,3053
56,3053
57,3053
56,3053
56,3053
59,3053
54,3053
60,3054
60,3054
58,3054
58,3054
59,3054
57,3055
58,3056
56,3056
56,3056
54,3056
61,3057
61,3057
55,3057
61,3057
58,3057
58,3057
56,3058
59,3058
58,3058
59,3059
56,3059
56,3059
57,3060
57,3060
57,3061
55,3061
56,3061
56,3061
55,3061
60,3061
57,3062
60,3062
56.5,3062
63,3062
59,3062
61,3062
58,3062
57,3063
56,3063
61,3063
59,3064
62,3064
56,3064
55,3064
56,3064
58,3065
56,3065
55,3065
60,3066
56,3066
57,3066
57,3066
56,3066
59,3066
55,3066
62,3067
55,3067
60,3068
56,3068
57,3070
56,3070
59,3070
63,3070
56,3071
56,3071
61,3072
56,3073
61,3073
55,3073
55,3073
57,3073
59,3073
57,3073
65,3073
58,3074
56,3074
55,3074
56,3074
58,3075
59,3075
56,3075
57,3075
57,3075
56,3075
57,3075
55,3075
59,3077
58,3077
56,3077
58,3077
62,3077
58,3078
59,3078
56,3078
56,3079
60,3079
66,3079
58,3080
57,3080
57,3080
60,3080
60,3080
60,3080
55,3080
55,3080
57,3081
57,3081
55,3081
57,3081
58,3082
55,3082
53.7,3082
53.7,3082
60,3082
55,3082
62,3082
59,3082
56,3082
58,3082
58,3082
60,3083
57,3083
62,3083
55,3084
59,3084
59,3084
55,3084
56,3084
54,3084
58,3084
57,3084
62,3084
61,3084
61,3084
55,3084
58,3084
57,3084
56,3084
60,3084
54,3084
56,3084
56,3084
56,3085
59,3086
55,3086
58,3087
60,3087
57,3087
59,3087
57,3087
56,3087
60,3088
53,3088
60,3089
56,3089
57,3089
57,3089
57,3089
55,3089
57,3089
57,3089
57,3090
55,3090
56,3090
62,3090
57,3091
62,3091
58,3091
60,3091
57,3091
58,3092
58,3092
55,3092
58,3093
57,3093
57,3093
57,3093
57,3095
57,3095
59,3095
59,3095
56,3095
59,3096
58,3096
57,3096
56,3096
56,3097
59,3097
55,3097
55,3097
54,3098
58,3099
57,3099
59,3099
57,3101
54,3101
55,3101
59,3101
57,3102
55,3102
56,3102
54,3102
53,3103
57,3103
56,3103
59,3103
57,3104
58,3104
62,3104
58,3104
55,3104
59,3105
56,3105
56,3105
63,3105
61,3105
63,3105
58,3105
58,3105
56,3105
58,3105
60,3105
56,3105
60,3105
55,3105
59,3105
58,3105
59,3105
54,3107
56,3107
56,3107
58,3107
63,3107
56,561
56,561
55,561
59,561
60,561
60,561
54,561
56,561
57,561
59,561
56,561
61,561
58,561
59,561
57,561
60,561
59,561
57,561
60,561
57,561
58,561
54,561
60,561
60,561
59,561
58,561
58,561
56,561
60,561
59,561
59,3107
65,3107
59,3107
60,3107
58,3107
56,3108
59,3108
61,3108
60,3109
59,3109
57,3109
58,3110
58,3111
56,3111
58,3111
60,3112
58,3112
59,3112
58,3112
57,3112
57,3112
58,3113
58,3113
57,3113
61,3114
60,3114
55,3114
56,3114
58,3114
54,3114
56,3115
60,3115
60,3115
59,3115
55,3116
57,3116
59,3116
56,3116
58,3117
59,3118
56,3118
58,3118
55,3118
57,3118
59,3119
55,3119
55,3119
58,3119
59,3119
60,3119
56,3120
56,3120
54,3121
60.7,3121
58,3121
59,3121
59,3121
57,3121
56,3122
56,3122
56,3122
65,3122
56,3123
57,3123
56.2,3123
56.6,3123
56.1,3123
57,3123
59,3124
56,3124
58,3125
57,3125
61,3125
64,3125
55,3125
59,3125
56,3126
57,3126
56,3126
58,3127
57,3127
57,3127
55,3127
56,3127
57,3127
57,3128
56,3129
57,3129
55,3129
58,3129
57,3130
55,3130
55,3130
57,3130
60,3131
62,3131
55,3131
55,3133
55,3133
57,3133
60,3134
56,3135
57,3135
56,3135
57,3135
58,3135
59,3136
59,3136
59,3136
57,3136
58,3136
55,3136
53,3136
53,3136
59,3136
57,3136
56,3137
58,3137
56,3137
56,3137
63,3137
56.3,3138
59,3138
59,3139
61,3139
57,3139
62,3139
61,3139
57,3139
58,3139
57,3140
57,3140
62,3140
53,3140
60,3141
63,3141
59,3141
59,3142
56,3142
67,3142
57,3142
56,3142
54,3142
56,3143
57,3143
56,3144
62,3144
57,3145
62,3145
57,3145
58,3145
56,3145
56,3145
57,3145
59,3145
55,3145
57,3145
56,3145
59,3145
55,3145
59,3145
57,3145
65,3145
55,3145
57,3146
56,3146
62,3146
60,3146
57,3146
58,3146
59,3146
55,3146
56,3146
56,3148
58,3148
60,3148
57,3148
60,3149
62,3149
62,3149
59,3149
59,3150
58,3150
56,3150
58,3150
56,3151
57,3152
58,3152
60,3153
60,3153
56,3153
57,3153
64,3153
61,3154
55,3154
57,3154
55,3154
60,3154
56,3154
55,3154
58,3154
55,3154
66,3154
54,3154
59,3156
53,3157
58,3158
56,3158
63,3158
56,3159
54,3159
57,3160
57,3160
59,3160
60,3160
57,3160
61,3160
63,3160
57,3160
63,3160
61,3160
54,3160
57,3160
56,3161
59,3161
55,3161
59,3161
59,3162
65,3162
59,3162
55,3162
58,3162
54,3163
56,3163
54,3163
56,3163
55,3164
56,3164
54,3164
57,3165
59,3165
58,3166
63,3166
59,3166
59,3167
56,3167
55,3167
55,3167
56,3167
54,3167
55,3167
57,3167
54,3167
58,3167
56,3168
55,3168
61,3169
56,3169
55,3169
57,3170
58,3170
56,3170
57,3170
55,3170
57,3170
56,3170
56,3170
56,3170
57,3170
56,3171
58,3171
55,3171
57,3171
55,3171
55,3171
56,3171
57,3172
60,3172
57,3172
54,3172
55,3172
57.2,3172
58.1,3172
57,3173
58,3173
58,3173
63,3173
59,3174
55,3175
57,3175
55,3175
61,3175
61,3175
56,3175
58,3175
57,3175
61,3175
58,3176
59,3176
54,3176
56,561
58,561
57,561
55,561
57,561
55,561
59,561
57,561
58,561
59,561
58,561
57,561
58,561
58,561
58,561
57,561
60,561
58,561
59,561
57,561
57,561
55,561
56,561
56,561
55,561
55,561
59,561
59,561
58,562
55,562
56,3176
57,3176
57,3177
54,3177
56,3178
55,3178
56,3179
56,3179
57,3179
57,3179
58,3179
62,3179
58,3180
59,3180
57,3180
58,3180
55,3180
57,3180
60,3180
57,3180
56,3180
56,3181
58,3181
58,3181
57,3181
60,3181
56,3181
58,3182
56,3182
56,3183
55,3183
56,3183
59,3183
57,3183
55,3183
60,3183
58,3184
55,3184
55,3185
56,3185
57,3185
56,3185
58,3185
68,3187
59,3187
56,3187
62,3188
56,3188
56,3188
57,3189
59,3189
57,3189
55,3189
57,3189
56,3189
56,3189
60,3190
54,3190
58,3190
60,3190
55,3190
56,3191
57,3191
55,3191
57,3191
57,3191
55,3192
55,3192
57,3192
60,3192
57,3192
57,3192
56,3192
59,3192
64,3192
59,3192
57,3192
60,3193
54,3193
61,3193
63,3193
58,3193
60,3193
57.5,3194
58,3195
53,3195
54,3195
56,3195
60.9,3195
58,3195
60,3195
57,3196
53,3196
55,3196
56,3197
56,3197
54,3197
60,3197
59,3198
59,3198
59,3198
56,3198
55,3198
59,3199
64,3199
57,3199
56,3199
63,3199
56,3199
57,3199
60,3199
57,3200
56,3200
56,3200
57,3201
59,3201
59,3201
57,3201
57,3201
55,3201
55,3203
58,3203
61,3203
62,3204
60,3204
56,3204
56,3204
60,3205
59,3205
56,3205
56,3205
62,3205
59,3205
59,3205
58,3205
54,3205
60,3205
59,3205
61,3205
57,3205
58,3206
56,3206
55,3206
57,3206
56,3206
55,3206
62,3206
55,3207
56,3207
54,3207
56,3208
59,3208
60,3208
59,3208
61,3208
62,3209
57,3209
56.4,3209
57,3209
54,3210
60,3210
56,3210
55,3210
62,3210
57,3210
62,3210
60,3210
56,3210
54,3211
61,3211
56,3211
58,3211
61,3211
61,3212
57,3212
54,3212
54,3212
57,3212
59,3213
57,3214
59,3214
61,3214
57,3215
60,3215
60,3215
58,3216
56,3216
58,3217
59,3217
55,3217
59,3217
63,3217
54,3217
56,3217
56,3217
59,3218
57,3218
60,3218
63,3218
57,3218
63,3219
57,3219
58,3219
58,3219
56,3219
56,3219
58,3220
58,3220
59,3220
56,3220
58,3220
58,3222
57,3222
56,3223
57,3223
60,3224
58,3224
57,3225
55,3225
55,3226
57,3226
56,3226
58,3226
55,3226
62,3226
57,3226
56,3226
56,3226
59,3228
60,3228
58,3228
57,3229
60,3229
57,3229
55,3229
55,3229
57,3229
56,3229
58,3229
60,3229
60,3230
57,3230
59,3230
55,3231
57,3231
56,3231
60,3231
57,3231
57,3234
58,3234
57,3234
61,3234
58,3234
56,3234
63,3234
57,3234
58,3234
59,3234
60,3235
57,3235
57,3235
61,3235
55,3235
57,3235
55,3236
58,3237
58,3237
55,3238
58,3238
58,3238
59,3238
56,3238
56,3238
57,3238
60,3239
58,3239
55,3239
57,3239
61,3239
58,3240
59,3241
56,3242
57,3242
61,3242
55,3243
58,3243
55,3243
56,3245
56,3246
57,3246
56,3246
61,3246
58,3246
55,3246
59,3246
59,3246
56,3246
58,3246
62,3246
60,3246
54,562
54,562
56,562
57,562
53,562
53,562
55,562
59,562
56,563
54,563
55,563
55,563
58,564
55,564
55,564
56,564
57,564
57,564
61,564
56,564
55,564
61,564
61,564
61,564
57,564
56,565
55,565
55,565
56,565
55,565
63,3246
61,3246
55,3246
58,3247
59,3247
57,3247
55,3247
55,3247
57,3247
56,3248
55,3248
56,3248
57,3248
56,3248
55,3248
62,3248
59,3249
56,3249
56,3249
56,3249
55,3249
58,3250
60,3250
59,3250
58,3250
58,3250
59,3250
59,3250
58,3250
60,3250
58,3250
59,3251
56,3251
57,3251
56,3251
56,3251
57,3251
58,3251
57,3251
55,3252
56,3252
56,3253
57,3253
57,3253
56,3253
56,3253
61,3253
55,3254
56,3254
55,3254
55,3254
59,3255
57,3255
56,3255
60,3256
56,3256
55,3256
55,3257
58,3257
56,3257
58,3258
58,3258
58,3258
57,3259
64,3259
59,3260
56,3260
60,3261
58,3261
55,3261
58,3261
61,3261
61,3262
57,3262
56,3262
57,3263
59,3263
57,3264
56,3264
55,3264
56,3265
59,3265
56,3265
62,3265
58,3265
54,3265
58,3265
58,3265
57,3265
55,3265
55,3265
57,3266
58,3266
59,3266
61,3266
56,3266
57,3267
57,3267
57,3267
62,3267
57,3267
54,3267
55,3267
56,3267
56,3267
55,3267
62,3268
55,3268
59,3269
55,3269
62,3270
57,3270
57,3270
59,3270
56,3270
56,3270
56,3270
54,3270
55,3271
62,3271
